protocol,src_port,dst_port,pkt_len,ttl,ihl,tos,frag_offset,tcp_flags,label
6,0,0,232,31,255,0,0,0,normal
17,0,0,2,254,0,0,0,0,attack
6,0,0,36,254,255,0,0,15,attack
6,0,0,448,31,255,0,0,0,normal
17,0,0,2,31,0,0,0,0,normal
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,34,254,255,0,0,14,attack
6,0,0,52,31,255,0,0,0,normal
6,0,0,48,31,255,0,0,0,normal
0,0,0,4,254,0,0,0,0,attack
0,0,0,2,254,0,0,0,0,attack
6,0,0,14,254,255,0,0,10,normal
6,0,0,10,254,255,0,0,16,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,4,31,0,0,0,0,normal
6,0,0,22,254,255,0,0,11,attack
6,0,0,10,62,255,0,0,16,attack
6,0,0,10,254,255,0,0,8,normal
6,0,0,10,254,255,0,0,16,attack
6,0,0,246,62,255,0,0,6,attack
17,0,0,2,254,0,0,0,0,attack
0,0,0,2,254,0,0,0,0,attack
6,0,0,22,31,255,0,0,0,normal
6,0,0,40,62,255,0,0,13,attack
6,0,0,12,254,255,0,0,14,attack
17,0,0,4,31,0,0,0,0,normal
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,31,0,0,0,0,normal
0,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,340,62,255,0,0,5,attack
0,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,31,0,0,0,0,normal
17,0,0,2,254,0,0,0,0,normal
6,0,0,12,254,255,0,0,19,attack
6,0,0,10,62,255,0,0,9,attack
6,0,0,12,254,255,0,0,16,attack
0,0,0,2,254,0,0,0,0,attack
0,0,0,4,254,0,0,0,0,attack
6,0,0,10,254,255,0,0,20,normal
0,0,0,20,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,normal
6,0,0,10,254,255,0,0,13,attack
6,0,0,90,31,255,0,0,0,normal
17,0,0,2,254,0,0,0,0,attack
6,0,0,122,31,255,0,0,0,normal
17,0,0,2,31,0,0,0,0,normal
17,0,0,2,62,0,0,0,0,attack
6,0,0,16,254,255,0,0,16,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,10,254,255,0,0,12,attack
6,0,0,10,254,255,0,0,20,attack
6,0,0,18,31,255,0,0,0,normal
17,0,0,2,254,0,0,0,0,attack
0,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,24,62,255,0,0,5,attack
0,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
0,0,0,2,254,0,0,0,0,attack
0,0,0,180,254,0,0,0,0,attack
6,0,0,40,62,255,0,0,8,attack
6,0,0,10,62,255,0,0,7,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,42,62,255,0,0,6,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,20,62,255,0,0,5,attack
6,0,0,10,62,255,0,0,11,attack
6,0,0,40,31,255,0,0,0,normal
17,0,0,4,31,0,0,0,0,normal
17,0,0,2,254,0,0,0,0,attack
6,0,0,18,62,255,0,0,27,attack
6,0,0,2,254,255,0,0,0,normal
6,0,0,10,254,255,0,0,6,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,10,254,255,0,0,13,attack
6,0,0,10,62,255,0,0,16,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,12,62,255,0,0,5,attack
6,0,0,12,254,255,0,0,16,attack
6,0,0,14,254,255,0,0,2,attack
17,0,0,2,254,0,0,0,0,attack
6,0,0,10,254,255,0,0,9,normal
6,0,0,52,31,255,0,0,0,normal
17,0,0,2,254,0,0,0,0,normal
6,0,0,18,31,255,0,0,0,normal
6,0,0,14,254,255,0,0,11,normal
0,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,31,0,0,0,0,normal
0,0,0,2,254,0,0,0,0,attack
6,0,0,10,62,255,0,0,29,attack
6,0,0,12,254,255,0,0,12,attack
17,0,0,2,254,0,0,0,0,attack
17,0,0,2,254,0,0,0,0,normal
6,0,0,14,254,255,0,0,31,normal
17,0,0,2,254,0,0,0,0,attack
0,0,0,2,254,0,0,0,0,attack
6,0,0,10,254,255,0,0,13,attack
6,0,0,10,254,255,0,0,19,attack
17,0,0,2,31,0,0,0,0,normal
6,0,0,64,31,255,0,0,0,normal
0,0,0,2,254,0,0,0,0,attack
6,0,0,10,254,255,0,0,11,normal
0,0,0,2,254,0,0,0,0,attack
6,0,0,24,62,255,0,0,10,attack
6,0,0,10,254,255,0,0,9,normal
